Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
1, 1,0.030131, 0.00456641, 0.00323904, 357.833, 119.528, 0.0738778, 776.797, -259.97, 1, 0.000992338, 0.0346601, 0.0259993, 477.241, -170.666, 0.526467, 0.000986772, 0.0256141, 0.0196029, 238.54, -82.2953, 0.449199, 0.000984664, 25.8648, 18.9629, 467.172, 9.20298, 6.32013, 231.363, -0.0144326, -0.015342, 0.0336961, -0.0110985, -0.0110985, -0.0110985
2, 1,0.0358662, 0.00540452, 0.00393214, 368.079, 122.357, 0.0790605, 920.482, -305.951, 1, 0.00102542, 0.0412302, 0.031955, 490.334, -192.046, 0.650705, 0.00101894, 0.0305153, 0.0241855, 245.921, -95.2945, 0.552342, 0.00101624, 74.8693, 20.3285, 480.939, 37.7665, 8.77036, 239.347, -0.0139181, -0.0213082, 0.0401197, -0.010619, -0.010619, -0.010619
3, 1,0.0381633, 0.00586188, 0.00426864, 372.964, 122.887, 0.0820324, 1007.88, -340.392, 1, 0.00106124, 0.0439823, 0.0337849, 495.751, -198.198, 0.698028, 0.0010536, 0.0323587, 0.0253476, 250.276, -101.539, 0.587902, 0.00105064, 79.3104, 29.0659, 486.219, 43.1876, 17.7542, 243.674, -0.0151119, -0.0223899, 0.0427704, -0.0115536, -0.0115536, -0.0115536
4, 1,0.0379663, 0.00596445, 0.0042431, 365.164, 120.941, 0.0836241, 1052.91, -357.908, 1, 0.00109901, 0.0438929, 0.0326996, 486.008, -179.239, 0.690819, 0.00108981, 0.0320526, 0.0243147, 244.414, -90.4037, 0.577162, 0.00108701, 38.1955, 23.6785, 475.842, 20.9332, 12.8215, 237.456, -0.0178649, -0.0200349, 0.0426333, -0.0133989, -0.0133989, -0.0133989
5, 1,0.0270023, 0.00390126, 0.00270488, 362.948, 118.17, 0.0728174, 753.502, -259.037, 1, 0.000969912, 0.0308914, 0.0230932, 481.067, -179.412, 0.457766, 0.000964495, 0.0231169, 0.0177231, 244.879, -93.6887, 0.399732, 0.000962614, 35.3582, 34.1517, 468.726, 22.7664, 21.0819, 237.218, -0.0128132, -0.0131484, 0.0298716, -0.00986357, -0.00986357, -0.00986357
6, 1,0.0324826, 0.00460535, 0.00324122, 371.773, 120.431, 0.0780349, 901.801, -310.875, 1, 0.0010034, 0.0370669, 0.0284968, 492.143, -197.458, 0.576752, 0.000996709, 0.0279045, 0.0220624, 251.464, -105.191, 0.501678, 0.000994367, 79.2284, 37.799, 475.348, 49.4614, 24.8848, 241.227, -0.0126801, -0.017892, 0.0352968, -0.00954854, -0.00954854, -0.00954854
7, 1,0.035747, 0.00501974, 0.00355868, 370.192, 120.446, 0.0815055, 993.023, -335.974, 1, 0.00103762, 0.0407535, 0.0311553, 490.6, -192.172, 0.64115, 0.00102988, 0.0307443, 0.0240701, 249.823, -101.169, 0.556076, 0.00102734, 70.5197, 30.1278, 475.867, 42.7734, 19.6317, 241.101, -0.0143457, -0.0198587, 0.03906, -0.0109733, -0.0109733, -0.0109733
8, 1,0.0368303, 0.00525277, 0.00368835, 365.805, 119.231, 0.0835685, 1045.47, -349.294, 1, 0.00107323, 0.0420778, 0.0312346, 485.016, -179.75, 0.659824, 0.00106446, 0.0315845, 0.0239137, 246.614, -94.2166, 0.568052, 0.00106193, 35.9076, 29.7646, 473.578, 23.9229, 18.7158, 240.011, -0.0175544, -0.0185916, 0.0407626, -0.0134555, -0.0134555, -0.0134555
9, 1,0.0186296, 0.00300029, 0.0020818, 354.409, 116.042, 0.0702487, 680.125, -233.131, 1, 0.000967495, 0.0216185, 0.0157129, 470.363, -164.053, 0.280264, 0.00096228, 0.0156446, 0.0116379, 238.542, -84.0631, 0.245916, 0.000960767, 14.1844, 28.3579, 449.616, 10.0095, 16.5116, 225.668, -0.00900942, -0.00831436, 0.020479, -0.00670544, -0.00670544, -0.00670544
10, 1,0.0221096, 0.00362214, 0.00251768, 359.54, 117.869, 0.0750165, 817.497, -284.017, 1, 0.00100138, 0.0256922, 0.0193064, 477.196, -174.998, 0.361811, 0.000994519, 0.0185406, 0.0143757, 242.092, -91.0661, 0.309965, 0.00099276, 46.4514, 36.681, 441.861, 30.8506, 23.0269, 219.321, -0.00928075, -0.0103772, 0.0232157, -0.00659815, -0.00659815, -0.00659815
