label,value
baseName,open-frame-fatigue-v25mm-9pct
ident,open-frame-fatigue-v25mm-9pct
code,n-f
symmetry,1
v.Total,11.018315728
vX.pre,2.06616847652964
vX.ld,0.284259329787032
vX.ul,0.254368504469899
vX.delta,0.0298908253171329
EA.max,0.00782284
EM.max,0.0403436
SA.max,124.407
SM.max,483.65
SWT.max,3.86302791176
EA.gt.0.000.T,11.018344642
EA.gt.0.001.T,1.64339195
EA.gt.0.002.T,0.523091072
EA.gt.0.003.T,0.315524695
EA.gt.0.004.T,0.192439871
EA.gt.0.005.T,0.07776606
EA.gt.0.006.T,0.007417932
EA.gt.0.007.T,0.003014292
EA.gt.0.000.AM,0.494895768
EA.gt.0.001.AM,0.436493941
EA.gt.0.002.AM,0.253682319
EA.gt.0.003.AM,0.234437763
EA.gt.0.004.AM,0.177543543
EA.gt.0.005.AM,0.07569457
EA.gt.0.006.AM,0.007417932
EA.gt.0.007.AM,0.003014292
SWT.gt.0.0.T,11.018344642
SWT.gt.0.5.T,1.098718723
SWT.gt.1.T,0.476192394
SWT.gt.1.5.T,0.269632531
SWT.gt.2.T,0.177746241
SWT.gt.2.5.T,0.05950247
SWT.gt.3.T,0.006346992
SWT.gt.3.5.T,0.00204304
SWT.gt.0.0AM,0.494895768
SWT.gt.0.5.AM,0.42541583
SWT.gt.1.AM,0.251544169
SWT.gt.1.5.AM,0.232270459
SWT.gt.2.AM,0.163852093
SWT.gt.2.5.AM,0.05743098
SWT.gt.3.AM,0.006346992
SWT.gt.3.5.AM,0.00204304
