label,value
baseName,open-frame-fatigue-v25mm-9pct
ident,ue-v25mm
code,v25
symmetry,12
v.Total,132.219788736
vX.pre,24.7940217183557
vX.ld,3.41111195744438
vX.ul,3.05242205363879
vX.delta,0.358689903805595
EA.max,0.00782284
EM.max,0.0403436
SA.max,124.407
SM.max,483.65
SWT.max,3.86302791176
EA.gt.0.000.T,132.220135704
EA.gt.0.001.T,19.7207034
EA.gt.0.002.T,6.277092864
EA.gt.0.003.T,3.78629634
EA.gt.0.004.T,2.309278452
EA.gt.0.005.T,0.93319272
EA.gt.0.006.T,0.089015184
EA.gt.0.007.T,0.036171504
EA.gt.0.000.AM,5.938749216
EA.gt.0.001.AM,5.237927292
EA.gt.0.002.AM,3.044187828
EA.gt.0.003.AM,2.813253156
EA.gt.0.004.AM,2.130522516
EA.gt.0.005.AM,0.90833484
EA.gt.0.006.AM,0.089015184
EA.gt.0.007.AM,0.036171504
SWT.gt.0.0.T,132.220135704
SWT.gt.0.5.T,13.184624676
SWT.gt.1.T,5.714308728
SWT.gt.1.5.T,3.235590372
SWT.gt.2.T,2.132954892
SWT.gt.2.5.T,0.71402964
SWT.gt.3.T,0.076163904
SWT.gt.3.5.T,0.02451648
SWT.gt.0.0AM,5.938749216
SWT.gt.0.5.AM,5.10498996
SWT.gt.1.AM,3.018530028
SWT.gt.1.5.AM,2.787245508
SWT.gt.2.AM,1.966225116
SWT.gt.2.5.AM,0.68917176
SWT.gt.3.AM,0.076163904
SWT.gt.3.5.AM,0.02451648
