 	Label	XMin	XMax	YMin	YMax	ZMin	ZMax
1	1	373	388	256	269	0	8
2	2	1003	1003	272	272	0	0
3	3	585	585	281	281	0	0
4	4	586	586	282	282	0	1
5	5	571	598	278	312	0	82
6	6	760	767	284	295	0	3
7	7	1103	1104	287	288	0	1
8	8	570	571	294	295	0	0
9	9	1192	1192	311	311	0	0
10	10	1000	1000	338	339	0	0
11	11	725	728	348	353	0	4
12	12	868	869	355	356	0	1
13	13	814	814	356	357	0	1
14	14	270	288	357	372	0	7
15	15	724	736	354	368	0	24
16	16	605	605	394	394	0	0
17	17	485	490	395	402	0	1
18	18	926	926	403	403	0	0
19	19	924	924	405	405	0	0
20	20	689	691	412	414	0	2
21	21	792	795	416	419	0	2
22	22	471	478	432	442	0	14
23	23	1014	1033	436	452	0	11
24	24	1032	1032	443	444	0	1
25	25	938	950	455	471	0	29
26	26	799	817	469	489	0	17
27	27	320	320	474	474	0	0
28	28	628	650	468	489	0	37
29	29	319	320	476	478	0	2
30	30	1030	1032	477	480	0	2
31	31	1179	1203	478	497	0	10
32	32	524	527	480	482	0	1
33	33	823	823	486	486	0	0
34	34	825	827	486	489	0	2
35	35	803	803	490	490	0	0
36	36	1015	1015	499	499	0	0
37	37	1087	1092	505	510	0	5
38	38	656	675	529	557	0	25
39	39	140	165	524	552	0	64
40	40	288	318	534	564	0	18
41	41	304	304	534	534	0	1
42	42	461	482	531	553	0	47
43	43	237	248	552	563	0	10
44	44	288	288	554	554	0	0
45	45	557	558	555	557	0	1
46	46	1103	1107	572	575	0	3
47	47	1142	1162	574	592	0	28
48	48	640	643	591	593	0	1
49	49	1023	1023	594	594	0	0
50	50	481	483	596	598	0	1
51	51	274	277	602	607	0	2
52	52	1020	1038	598	618	0	29
53	53	651	654	605	607	0	1
54	54	1117	1120	605	609	0	4
55	55	1140	1142	606	608	0	1
56	56	1117	1117	610	611	0	1
57	57	234	245	614	623	0	27
58	58	240	240	616	616	0	0
59	59	1134	1142	638	647	0	4
60	60	662	669	639	644	0	3
61	61	405	440	648	681	0	46
62	62	440	441	649	649	0	1
63	63	730	730	671	671	0	0
64	64	746	749	693	696	0	6
65	65	911	914	693	695	0	1
66	66	1114	1114	698	698	0	0
67	67	594	594	699	699	0	0
68	68	1114	1114	702	702	0	0
69	69	867	888	705	726	0	55
70	70	236	247	715	723	0	14
71	71	853	854	715	716	0	2
72	72	1002	1005	751	755	0	3
73	73	423	428	799	803	0	4
74	74	840	843	801	803	0	1
75	75	146	159	821	839	0	50
76	76	1248	1248	824	824	0	0
77	77	792	792	825	825	0	0
78	78	151	151	838	838	0	0
79	79	639	640	838	838	0	1
80	80	834	835	852	854	0	1
81	81	519	520	885	886	0	1
82	82	557	557	895	895	0	0
83	83	558	558	895	896	0	1
84	84	888	888	909	909	0	0
85	85	890	894	910	913	0	4
86	86	722	724	938	941	0	4
87	87	1121	1125	1050	1055	0	3
88	88	795	803	1072	1080	0	5
89	89	660	670	1119	1131	0	12
90	90	573	575	292	293	1	1
91	91	572	572	294	294	1	1
92	92	761	761	295	295	1	1
93	93	947	947	467	467	1	1
94	94	526	526	482	482	1	1
95	95	1177	1177	496	496	1	1
96	96	1178	1178	497	498	1	2
97	97	1014	1015	499	500	1	3
98	98	839	839	538	538	1	1
99	99	439	439	552	552	1	1
100	100	287	287	553	553	1	1
101	101	314	314	563	563	1	1
102	102	660	660	568	568	1	1
103	103	817	817	585	586	1	1
104	104	418	418	659	659	1	3
105	105	731	731	672	672	1	1
106	106	422	422	681	681	1	1
107	107	563	563	854	854	1	1
108	108	603	603	865	865	1	1
109	109	571	572	292	294	2	3
110	110	1031	1031	443	443	2	3
111	111	941	941	458	458	2	2
112	112	802	802	490	490	2	2
113	113	287	287	552	552	2	2
114	114	660	660	569	569	2	2
115	115	817	817	587	587	2	2
116	116	1141	1141	607	607	2	2
117	117	245	245	621	621	2	3
118	118	1142	1142	643	643	2	2
119	119	412	412	667	667	2	2
120	120	593	593	699	699	2	3
121	121	580	580	795	795	2	2
122	122	841	843	801	802	2	3
123	123	890	890	909	909	2	2
124	124	586	586	271	271	3	3
125	125	586	587	272	273	3	6
126	126	589	589	289	289	3	3
127	127	872	873	355	355	3	3
