 	Label	Volume	SurfaceArea	Sphericity	EulerNumber	Elli.Center.X	Elli.Center.Y	Elli.Center.Z	Elli.R1	Elli.R2	Elli.R3	Elli.Azim	Elli.Elev	Elli.Roll	Elli.R1/R2	Elli.R1/R3	Elli.R2/R3	InscrBall.Center.X	InscrBall.Center.Y	InscrBall.Center.Z	InscrBall.Radius
1	1	0.629	2.445	3.059	0.500	621.959	152.847	0.651	0.868	0.501	0.000	90.000	-43.492	-90.000	1.732	Infinity	Infinity	621.708	152.296	0	0.501
2	2	0.251	1.039	6.376	0.500	160.061	154.049	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	159.811	153.799	0	0.501
3	3	1.635	5.711	1.622	0.500	621.997	155.938	0.636	1.420	0.799	0.442	60.315	-32.846	37.958	1.777	3.209	1.807	621.207	154.801	0	0.501
4	4	0.754	2.040	7.581	0.500	224.603	206.986	0.334	0.808	0.507	0.370	21.678	-7.419	30.342	1.595	2.186	1.370	223.935	206.401	0	0.501
5	5	1.006	3.849	2.007	0.500	365.836	233.141	0.751	0.875	0.608	0.423	-58.162	40.825	-130.720	1.439	2.066	1.435	365.711	232.452	0	0.501
6	6	0.503	1.835	4.629	0.500	410.297	263.763	0.501	0.560	0.560	0.000	-180.000	0.000	90.000	1.000	Infinity	Infinity	409.796	263.512	0	0.501
7	7	6.412	12.439	2.416	0.500	418.996	264.882	0.820	1.484	1.116	0.981	-24.369	16.889	-124.898	1.329	1.513	1.138	418.814	264.514	0	1.002
8	8	0.126	0.377	33.374	0.500	220.679	270.275	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	220.428	270.025	0	0.501
9	9	0.629	2.232	4.021	0.500	328.989	271.377	0.551	0.931	0.501	0.295	45.000	53.583	1.216E-14	1.858	3.152	1.696	328.639	271.027	0	0.501
10	10	0.251	1.039	6.376	0.500	233.203	293.821	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	232.953	293.571	0	0.501
11	11	0.126	0.377	33.374	0.500	450.626	307.347	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	450.375	307.097	0	0.501
12	12	0.629	2.973	1.702	0.500	522.666	312.357	1.152	1.328	0.378	0.000	0.000	79.099	-90.000	3.516	Infinity	Infinity	522.516	312.107	0	0.501
13	13	0.251	1.039	6.376	0.500	319.872	321.375	0.501	0.560	0.000	0.000	0.000	-90.000	-90.000	Infinity	Infinity	NaN	319.621	321.124	0	0.501
14	14	0.126	0.377	33.374	0.500	320.874	321.375	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	320.623	321.124	0	0.501
15	15	0.126	0.377	33.374	0.500	340.913	328.889	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	340.662	328.639	0	0.501
16	16	0.126	0.377	33.374	0.500	233.704	398.525	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	233.454	398.274	0	0.501
17	17	0.126	0.377	33.374	0.500	234.205	399.026	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	233.955	398.775	0	0.501
18	18	0.126	0.377	33.374	0.500	419.064	401.530	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	418.814	401.280	0	0.501
19	19	0.503	1.581	7.232	0.500	419.816	402.157	0.376	0.732	0.396	0.303	-35.264	-26.565	125.264	1.848	2.414	1.307	419.315	401.781	0	0.501
20	20	1.383	5.311	1.444	0.500	417.288	442.610	1.025	1.601	0.607	0.449	-62.966	51.222	156.213	2.638	3.564	1.351	416.810	441.859	0	0.501
21	21	0.754	2.212	5.946	0.500	405.789	451.461	0.417	0.647	0.560	0.373	0.000	-90.000	-90.000	1.155	1.732	1.500	405.288	450.876	0	0.501
22	22	0.126	0.377	33.374	0.500	538.797	462.148	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	538.547	461.898	0	0.501
23	23	1.886	6.194	1.693	0.500	503.562	465.956	0.852	1.176	0.856	0.581	43.503	49.122	12.970	1.374	2.024	1.473	503.479	464.904	0	0.501
24	24	19.363	33.276	1.151	0.500	664.102	473.326	1.747	2.272	1.960	1.116	82.311	-44.018	-77.842	1.159	2.035	1.756	663.790	473.420	0	1.169
25	25	0.126	0.377	33.374	0.500	353.437	480.183	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	353.186	479.933	0	0.501
26	26	2.389	7.769	1.377	0.500	353.358	482.055	1.041	1.146	0.835	0.650	47.305	67.608	-21.514	1.372	1.763	1.285	353.186	481.436	0	0.501
27	27	0.503	1.649	6.385	0.500	293.445	496.214	0.376	0.970	0.396	0.000	0.000	-18.435	90.000	2.449	Infinity	Infinity	292.569	495.964	0	0.501
28	28	1.760	4.485	3.885	0.500	281.511	511.601	0.501	1.065	0.688	0.587	-16.333	14.582	62.936	1.548	1.814	1.172	281.046	511.494	0	0.668
29	29	0.126	0.377	33.374	0.500	224.687	531.784	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	224.436	531.533	0	0.501
30	30	0.880	3.675	1.764	0.500	438.960	538.010	0.823	1.146	0.548	0.423	67.173	-37.688	-119.028	2.089	2.706	1.295	438.352	537.545	0	0.501
31	31	0.377	1.013	15.491	0.500	312.691	589.729	0.250	0.647	0.373	0.000	-45.000	-0.000	0.000	1.732	Infinity	Infinity	312.608	589.145	0	0.501
32	32	0.251	0.708	20.152	0.500	365.210	592.401	0.250	0.560	0.000	0.000	-180.000	0.000	0.000	Infinity	Infinity	NaN	364.709	592.151	0	0.501
33	33	0.126	0.377	33.374	0.500	421.569	592.902	0.250	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	421.319	592.652	0	0.501
34	34	0.126	0.754	4.172	1.000	329.390	271.778	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	329.140	271.528	0.501	0.501
35	35	0.126	0.754	4.172	1.000	406.039	383.495	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	405.789	383.245	0.501	0.501
36	36	0.503	2.688	1.474	1.000	341.539	397.523	1.127	0.970	0.396	0.000	0.000	71.565	-90.000	2.449	Infinity	Infinity	341.163	397.272	0.501	0.501
37	37	0.126	0.754	4.172	1.000	233.704	399.026	0.751	0.000	0.000	0.000	0.000	-0.000	0.000	NaN	NaN	NaN	233.454	398.775	0.501	0.501
